strike_expiry,strike_30,strike_60,atr_expiry,atr_30,atr_60,ret_expiry,ret_30,ret_60,mfe_expiry,mae_expiry,ticker,timestamp,confidence
True,False,True,True,True,True,[4.10501099],[7.35501099],[10.70500183],35.07490539550781,0.32000732421875,NVDA,2025-09-19 13:30:00+00:00,4.91
True,False,True,True,True,True,[3.48809814],[6.73809814],[7.11808777],34.45799255371094,-0.296905517578125,NVDA,2025-09-19 17:30:00+00:00,5.36
True,False,True,True,True,True,[-3.00498962],[-5.30499268],[-2.05499268],27.96490478515625,-6.7899932861328125,NVDA,2025-09-22 13:30:00+00:00,14.4
True,False,True,True,True,True,[-3.61999512],[-3.32000732],[-4.27529907],27.349899291992188,-7.404998779296875,NVDA,2025-09-22 17:30:00+00:00,14.4
True,False,True,True,True,True,[1.30000305],[3.09500122],[0.25],32.2698974609375,-2.4850006103515625,NVDA,2025-09-23 13:30:00+00:00,7.2
True,False,True,True,True,True,[1.54000854],[3.75],[0.49000549],32.50990295410156,-2.2449951171875,NVDA,2025-09-23 17:30:00+00:00,7.2
True,False,True,True,True,True,[2.86990356],[7.87989807],[1.81990051],33.83979797363281,-0.91510009765625,NVDA,2025-09-24 13:30:00+00:00,6.14
True,False,True,True,True,True,[3.11000061],[9.37998962],[2.05999756],34.07989501953125,-0.6750030517578125,NVDA,2025-09-24 17:30:00+00:00,4.78
True,False,True,True,True,True,[2.01010132],[8.28009033],[0.96009827],32.97999572753906,-1.77490234375,NVDA,2025-09-25 13:30:00+00:00,4.31
True,False,True,True,True,True,[2.31001282],[8.58000183],[4.42001343],33.2799072265625,-1.4749908447265625,NVDA,2025-09-25 17:30:00+00:00,3.79
True,False,True,True,True,True,[2.83500671],[9.10499573],[5.39500427],33.804901123046875,-0.9499969482421875,NVDA,2025-09-26 13:30:00+00:00,3.15
True,False,True,True,True,True,[1.80000305],[8.06999207],[-1.98500061],32.7698974609375,-1.9850006103515625,NVDA,2025-09-26 17:30:00+00:00,3.19
True,False,True,True,True,True,[-1.91319275],[24.88580322],[-1.7131958],29.05670166015625,-5.6981964111328125,NVDA,2025-09-29 13:30:00+00:00,9.78
True,False,True,True,True,True,[-1.83000183],[25.22999573],[-4.68580627],29.139892578125,-5.6150054931640625,NVDA,2025-09-29 17:30:00+00:00,11.58
False,False,False,True,True,True,[-5.63499451],[17.42999268],[-8.49079895],25.33489990234375,-9.419998168945312,NVDA,2025-09-30 13:30:00+00:00,14.4
False,False,False,True,True,True,[-6.56999207],[16.24000549],[-9.42579651],24.39990234375,-10.354995727539062,NVDA,2025-09-30 17:30:00+00:00,14.4
False,False,False,True,True,True,[-7.58000183],[15.26649475],[-10.43580627],23.389892578125,-11.365005493164062,NVDA,2025-10-01 13:30:00+00:00,14.4
False,False,False,True,True,True,[-7.17999268],[15.22999573],[-10.03579712],23.789901733398438,-10.964996337890625,NVDA,2025-10-01 17:30:00+00:00,14.4
False,False,False,True,True,True,[-9.12928772],[13.28070068],[-11.98509216],21.840606689453125,-12.914291381835938,NVDA,2025-10-02 13:30:00+00:00,14.4
False,False,False,True,True,True,[-8.92999268],[13.47999573],[-9.51499939],22.039901733398438,-12.714996337890625,NVDA,2025-10-02 17:30:00+00:00,14.4
False,False,False,True,True,True,[-7.1875],[15.2224884],[-7.1875],23.782394409179688,-10.972503662109375,NVDA,2025-10-03 13:30:00+00:00,7.2
False,False,False,True,True,True,[-7.6309967],[14.7789917],[-7.6309967],23.338897705078125,-11.416000366210938,NVDA,2025-10-03 17:30:00+00:00,7.2
False,False,False,True,True,True,[-6.15989685],[12.39009094],[-6.15989685],24.80999755859375,-9.944900512695312,NVDA,2025-10-06 13:30:00+00:00,5.91
True,True,True,True,True,True,[-5.53999329],[15.41999817],[-5.53999329],25.429901123046875,-9.324996948242188,NVDA,2025-10-06 17:30:00+00:00,4.19
False,False,False,True,True,True,[-5.9197998],[9.2401886],[-5.9197998],25.050094604492188,-9.704803466796875,NVDA,2025-10-07 13:30:00+00:00,3.08
True,True,True,True,True,True,[-4.97000122],[4.24639893],[-4.97000122],25.999893188476562,-8.7550048828125,NVDA,2025-10-07 17:30:00+00:00,1.8
False,False,False,True,True,True,[-8.1599884],[0.02000427],[-8.1599884],22.809906005859375,-11.944992065429688,NVDA,2025-10-08 13:30:00+00:00,4.78
False,False,False,True,True,True,[-9.08000183],[-4.63000488],[-9.08000183],21.889892578125,-12.865005493164062,NVDA,2025-10-08 17:30:00+00:00,6.14
False,False,False,True,True,True,[-12.67008972],[-4.4151001],[-12.67008972],18.2998046875,-16.455093383789062,NVDA,2025-10-09 13:30:00+00:00,20.03
False,False,False,True,True,True,[-12.54998779],[-4.29499817],[-12.54998779],18.419906616210938,-16.334991455078125,NVDA,2025-10-09 17:30:00+00:00,11.84
False,False,False,True,True,True,[-8.16999817],[0.08499146],[-8.16999817],22.799896240234375,-11.955001831054688,NVDA,2025-10-10 13:30:00+00:00,8.37
False,False,False,True,True,True,[-3.1499939],[5.10499573],[-3.1499939],27.819900512695312,-6.93499755859375,NVDA,2025-10-10 17:30:00+00:00,0.72
False,False,False,True,True,True,[-8.55999756],[4.67999268],[-8.55999756],22.409896850585938,-12.345001220703125,NVDA,2025-10-13 13:30:00+00:00,0.79
False,False,False,True,True,True,[-8.33000183],[4.30999756],[-8.33000183],22.639892578125,-12.115005493164062,NVDA,2025-10-13 17:30:00+00:00,0.8
False,False,False,True,True,True,[-3.23500061],[10.625],[-3.23500061],27.734893798828125,-7.0200042724609375,NVDA,2025-10-14 13:30:00+00:00,1.44
True,True,True,True,True,True,[-0.08000183],[4.79499817],[-0.08000183],30.889892578125,-3.8650054931640625,NVDA,2025-10-14 17:30:00+00:00,0.72
True,True,True,True,True,True,[1.81001282],[8.77000427],[1.81001282],32.7799072265625,-1.9749908447265625,NVDA,2025-10-15 13:30:00+00:00,1.44
True,True,True,True,True,True,[0.12001038],[9.33000183],[0.12001038],31.08990478515625,-3.6649932861328125,NVDA,2025-10-15 17:30:00+00:00,0.72
True,True,True,True,True,True,[-2.33999634],[7.8999939],[-2.33999634],28.629898071289062,-6.125,NVDA,2025-10-16 13:30:00+00:00,0.72
True,True,True,True,True,True,[-1.82099915],[8.41899109],[-1.82099915],29.148895263671875,-5.6060028076171875,NVDA,2025-10-16 17:30:00+00:00,0.72
True,True,True,True,True,True,[-2.36999512],[7.86999512],[-2.36999512],28.599899291992188,-6.154998779296875,NVDA,2025-10-17 13:30:00+00:00,0.72
False,False,False,True,True,True,[-3.25],[6.98999023],[-3.25],27.719894409179688,-7.035003662109375,NVDA,2025-10-17 17:30:00+00:00,1.44
False,False,False,True,True,True,[-3.82598877],[-2.44599915],[-3.82598877],27.143905639648438,-7.610992431640625,NVDA,2025-10-20 13:30:00+00:00,1.44
True,True,True,True,True,True,[-2.58000183],[1.68998718],[-2.58000183],28.389892578125,-6.3650054931640625,NVDA,2025-10-20 17:30:00+00:00,0.72
True,True,True,True,True,True,[-1.48999023],[5.30000305],[-1.48999023],29.479904174804688,-5.274993896484375,NVDA,2025-10-21 13:30:00+00:00,0.72
True,True,True,True,True,True,[-1.1499939],[3.36999512],[-1.1499939],29.819900512695312,-4.93499755859375,NVDA,2025-10-21 17:30:00+00:00,0.72
True,True,True,True,True,True,[2.30000305],[3.25],[2.30000305],33.2698974609375,-1.4850006103515625,NVDA,2025-10-22 13:30:00+00:00,0.72
True,True,True,True,True,True,[-0.29998779],[-0.95529175],[-0.29998779],30.669906616210938,-4.084991455078125,NVDA,2025-10-22 17:30:00+00:00,0.72
True,True,True,True,True,True,[-1.79499817],[-2.84500122],[-1.79499817],29.174896240234375,-5.5800018310546875,NVDA,2025-10-23 13:30:00+00:00,0.98
True,True,True,True,True,True,[-2.20999146],[-3.25999451],[-2.20999146],28.759902954101562,-5.9949951171875,NVDA,2025-10-23 17:30:00+00:00,2.15
True,True,True,True,True,True,[-5.00999451],[-6.05999756],[-5.00999451],25.95989990234375,-8.794998168945312,NVDA,2025-10-24 13:30:00+00:00,8.59
False,False,False,True,True,True,[-6.26998901],[-7.31999207],[-6.26998901],24.699905395507812,-10.05499267578125,NVDA,2025-10-24 17:30:00+00:00,12.44
False,False,False,True,True,True,[-11.34410095],[-13.53410339],[-11.34410095],19.62579345703125,-15.129104614257812,NVDA,2025-10-27 13:30:00+00:00,14.4
False,False,False,True,True,True,[-11.43998718],[-10.61999512],[-11.43998718],19.5299072265625,-15.224990844726562,NVDA,2025-10-27 17:30:00+00:00,14.4
False,False,False,True,True,True,[-14.59928894],[-14.39929199],[-14.59928894],16.37060546875,-18.384292602539062,NVDA,2025-10-28 13:30:00+00:00,14.4
False,False,False,True,True,True,[-21.03999329],[-20.83999634],[-21.03999329],9.929901123046875,-24.824996948242188,NVDA,2025-10-28 17:30:00+00:00,28.8
False,False,False,True,True,True,[-26.79899597],[-26.59899902],[-26.79899597],4.1708984375,-30.583999633789062,NVDA,2025-10-29 13:30:00+00:00,28.8
False,False,False,True,True,True,[-27.05999756],[-29.915802],[-27.05999756],3.9098968505859375,-30.845001220703125,NVDA,2025-10-29 17:30:00+00:00,14.4
False,False,False,False,False,False,[-23.06498718],[-25.92079163],[-23.06498718],7.9049072265625,-26.849990844726562,NVDA,2025-10-30 13:30:00+00:00,7.2
False,False,False,False,False,False,[-22.80999756],[-25.665802],[-22.80999756],8.159896850585938,-26.595001220703125,NVDA,2025-10-30 17:30:00+00:00,7.2
False,False,False,False,False,False,[-22.84649658],[-25.70230103],[-22.84649658],8.123397827148438,-26.631500244140625,NVDA,2025-10-31 13:30:00+00:00,7.2
False,False,False,False,False,False,[-22.4099884],[-25.26579285],[-22.4099884],8.559906005859375,-26.194992065429688,NVDA,2025-10-31 17:30:00+00:00,7.2
False,False,False,False,False,False,[-30.96989441],[-30.96989441],[-30.96989441],-3.9398956298828125,-34.75489807128906,NVDA,2025-11-03 14:30:00+00:00,14.4
False,False,False,False,False,False,[-27.02999878],[-27.02999878],[-27.02999878],-6.07000732421875,-30.81500244140625,NVDA,2025-11-03 18:30:00+00:00,14.4
False,False,False,False,False,False,[-19.83509827],[-19.83509827],[-19.83509827],1.1248931884765625,-23.620101928710938,NVDA,2025-11-04 14:30:00+00:00,7.2
False,False,False,False,False,False,[-18.54998779],[-18.54998779],[-18.54998779],2.410003662109375,-22.334991455078125,NVDA,2025-11-04 18:30:00+00:00,3.71
False,False,False,False,False,False,[-20.95999146],[-20.95999146],[-20.95999146],-1.910003662109375,-24.7449951171875,NVDA,2025-11-05 14:30:00+00:00,1.68
False,False,False,False,False,False,[-15.1599884],[-15.1599884],[-15.1599884],3.8899993896484375,-18.944992065429688,NVDA,2025-11-05 18:30:00+00:00,0.72
False,False,False,False,False,False,[-9.21640015],[-9.21640015],[-9.21640015],9.833587646484375,-13.00140380859375,NVDA,2025-11-06 14:30:00+00:00,0.72
False,False,False,False,False,False,[-8.17999268],[-8.17999268],[-8.17999268],10.8699951171875,-11.964996337890625,NVDA,2025-11-06 18:30:00+00:00,0.72
False,False,False,False,False,False,[-4.44999695],[-4.44999695],[-4.44999695],14.599990844726562,-8.235000610351562,NVDA,2025-11-07 14:30:00+00:00,0.72
False,False,False,False,False,False,[-8.25498962],[-8.25498962],[-8.25498962],10.794998168945312,-12.039993286132812,NVDA,2025-11-07 18:30:00+00:00,0.72
False,False,False,False,False,False,[-16.72180176],[-16.72180176],[-16.72180176],2.32818603515625,-20.506805419921875,NVDA,2025-11-10 14:30:00+00:00,1.44
False,False,False,False,False,False,[-19.04998779],[-19.04998779],[-19.04998779],-5.1899871826171875,-22.834991455078125,NVDA,2025-11-10 18:30:00+00:00,1.44
False,False,False,False,False,False,[-13.6599884],[-13.6599884],[-13.6599884],0.20001220703125,-17.444992065429688,NVDA,2025-11-11 14:30:00+00:00,0.72
False,False,False,False,False,False,[-13.23999023],[-13.23999023],[-13.23999023],0.6200103759765625,-17.024993896484375,NVDA,2025-11-11 18:30:00+00:00,0.72
False,False,False,False,False,False,[-12.63999939],[-12.63999939],[-12.63999939],1.220001220703125,-16.425003051757812,NVDA,2025-11-12 14:30:00+00:00,0.72
False,False,False,False,False,False,[-13.86000061],[-13.86000061],[-13.86000061],-3.6200103759765625,-17.645004272460938,NVDA,2025-11-12 18:30:00+00:00,0.72
False,False,False,False,False,False,[-4.875],[-4.875],[-4.875],5.364990234375,-8.660003662109375,NVDA,2025-11-13 14:30:00+00:00,0.72
False,False,False,False,False,False,[-6.95999146],[-6.95999146],[-6.95999146],3.279998779296875,-10.7449951171875,NVDA,2025-11-13 18:30:00+00:00,0.72
False,False,False,False,False,False,[-9.20999146],[-9.20999146],[-9.20999146],1.029998779296875,-12.9949951171875,NVDA,2025-11-14 14:30:00+00:00,0.72
False,False,False,False,False,False,[-10.23999023],[-10.23999023],[-10.23999023],-3.4499969482421875,-14.024993896484375,NVDA,2025-11-14 18:30:00+00:00,0.72
False,False,False,False,False,False,[-6.73999023],[-6.73999023],[-6.73999023],0.0500030517578125,-10.524993896484375,NVDA,2025-11-17 14:30:00+00:00,0.72
False,False,False,False,False,False,[-6.59999084],[-6.59999084],[-6.59999084],0.19000244140625,-10.384994506835938,NVDA,2025-11-17 18:30:00+00:00,0.72
False,False,False,False,False,False,[-3.62998962],[-3.62998962],[-3.62998962],3.160003662109375,-7.4149932861328125,NVDA,2025-11-18 14:30:00+00:00,0.72
False,False,False,False,False,False,[-1.37998962],[-1.37998962],[-1.37998962],5.410003662109375,-5.1649932861328125,NVDA,2025-11-18 18:30:00+00:00,0.36
False,False,False,False,False,False,[-4.26998901],[-4.26998901],[-4.26998901],2.5200042724609375,-8.05499267578125,NVDA,2025-11-19 14:30:00+00:00,0.36
False,False,False,False,False,False,[-6.78999329],[-6.78999329],[-6.78999329],-2.2700042724609375,-10.574996948242188,NVDA,2025-11-19 18:30:00+00:00,0.36
False,False,False,False,False,False,[-4.51998901],[-4.51998901],[-4.51998901],-1.959991455078125,-8.30499267578125,NVDA,2025-11-20 14:30:00+00:00,1.44
False,False,False,False,False,False,[-0.94999695],[-0.94999695],[-0.94999695],1.6100006103515625,-4.7350006103515625,NVDA,2025-11-20 18:30:00+00:00,0.36
False,False,False,False,False,False,[0.65530396],[0.65530396],[0.65530396],3.215301513671875,-3.12969970703125,NVDA,2025-11-21 14:30:00+00:00,0.72
False,False,False,False,False,False,[1.05000305],[1.05000305],[1.05000305],3.6100006103515625,-2.7350006103515625,NVDA,2025-11-21 18:30:00+00:00,0.36
False,False,False,False,False,False,[-2.11000061],[-2.11000061],[-2.11000061],0.4499969482421875,-5.8950042724609375,NVDA,2025-11-24 14:30:00+00:00,0.36
False,False,False,False,False,False,[-2.55999756],[-2.55999756],[-2.55999756],-1.7400054931640625,-6.345001220703125,NVDA,2025-11-24 18:30:00+00:00,0.5
False,False,False,False,False,False,[3.78500366],[3.78500366],[3.78500366],4.6049957275390625,0.92919921875,NVDA,2025-11-25 14:30:00+00:00,0.72
False,False,False,False,False,False,[2.19000244],[2.19000244],[2.19000244],3.0099945068359375,-0.665802001953125,NVDA,2025-11-25 18:30:00+00:00,0.36
False,False,False,False,False,False,[-0.81999207],[-0.81999207],[-0.81999207],-0.6199951171875,-3.6757965087890625,NVDA,2025-11-26 14:30:00+00:00,0.79
False,False,False,False,False,False,[-0.19999695],[-0.19999695],[-0.19999695],-0.1999969482421875,-3.0558013916015625,NVDA,2025-11-26 18:30:00+00:00,1.39
False,False,False,False,False,False,[2.85580444],[2.85580444],[2.85580444],2.855804443359375,2.2707977294921875,NVDA,2025-11-28 14:30:00+00:00,1.19
False,False,False,False,False,False,[0.58500671],[0.58500671],[0.58500671],0.5850067138671875,0.5850067138671875,NVDA,2025-12-01 14:30:00+00:00,1.73
True,True,True,True,True,True,[63.05130005],[76.37129211],[83.79629517],107.56129455566406,0.6313018798828125,AMD,2025-09-19 13:30:00+00:00,2.71
True,True,True,True,True,True,[62.41999817],[75.73999023],[76.00498962],106.92999267578125,1.5699920654296875,AMD,2025-09-19 17:30:00+00:00,2.61
True,True,True,True,True,True,[58.59190369],[65.11190796],[44.81190491],103.10189819335938,-2.2581024169921875,AMD,2025-09-22 13:30:00+00:00,6.84
True,True,True,True,True,True,[60.11000061],[70.5249939],[41.80180359],104.6199951171875,-0.7400054931640625,AMD,2025-09-22 17:30:00+00:00,7.06
True,True,True,True,True,True,[58.28500366],[71.57499695],[42.20500183],102.79499816894531,-2.56500244140625,AMD,2025-09-23 13:30:00+00:00,7.2
True,True,True,True,True,True,[58.91099548],[74.09098816],[42.83099365],103.42098999023438,-1.9390106201171875,AMD,2025-09-23 17:30:00+00:00,3.6
True,True,True,True,True,True,[58.22010803],[89.69010925],[42.1401062],102.7301025390625,-2.6298980712890625,AMD,2025-09-24 13:30:00+00:00,7.2
True,True,True,True,True,True,[58.96000671],[92.05000305],[42.88000488],103.47000122070312,-1.8899993896484375,AMD,2025-09-24 17:30:00+00:00,3.6
True,True,True,True,True,True,[59.22999573],[92.31999207],[43.1499939],103.739990234375,-1.6200103759765625,AMD,2025-09-25 13:30:00+00:00,3.6
True,True,True,True,True,True,[58.55000305],[91.63999939],[53.85499573],103.05999755859375,-2.3000030517578125,AMD,2025-09-25 17:30:00+00:00,3.5
True,True,True,True,True,True,[60.8500061],[93.94000244],[55.9750061],105.36000061035156,0.4600067138671875,AMD,2025-09-26 13:30:00+00:00,2.82
True,True,True,True,True,True,[60.38999939],[93.47999573],[40.71769714],104.89999389648438,0.3600006103515625,AMD,2025-09-26 17:30:00+00:00,2.45
True,True,True,True,True,True,[56.97999573],[97.60998535],[51.25999451],101.489990234375,-3.0500030517578125,AMD,2025-09-29 13:30:00+00:00,5.94
True,True,True,True,True,True,[58.47000122],[102.97999573],[55.40550232],102.97999572753906,-1.55999755859375,AMD,2025-09-29 17:30:00+00:00,5.79
True,True,True,True,True,True,[60.02999878],[100.83110046],[56.96549988],104.53999328613281,1.8199920654296875,AMD,2025-09-30 13:30:00+00:00,2.43
True,True,True,True,True,True,[58.05000305],[93.11999512],[54.98550415],102.55999755859375,-0.160003662109375,AMD,2025-09-30 17:30:00+00:00,2.55
True,True,True,True,True,True,[58.21000671],[93.63870239],[55.14550781],102.72000122070312,2.4199981689453125,AMD,2025-10-01 13:30:00+00:00,2.55
True,True,True,True,True,True,[55.79000854],[92.02000427],[52.72550964],100.30000305175781,0.600006103515625,AMD,2025-10-01 17:30:00+00:00,6.12
True,True,True,True,True,True,[49.43170166],[85.66169739],[46.36720276],93.94169616699219,-5.75830078125,AMD,2025-10-02 13:30:00+00:00,28.8
True,True,True,True,True,True,[50.1000061],[86.33000183],[49.8400116],94.61000061035156,-5.089996337890625,AMD,2025-10-02 17:30:00+00:00,14.4
True,True,True,True,True,True,[54.02999878],[90.25999451],[54.02999878],98.53999328613281,-1.160003662109375,AMD,2025-10-03 13:30:00+00:00,7.2
True,True,True,True,True,True,[55.19000244],[91.41999817],[55.19000244],99.69999694824219,35.5177001953125,AMD,2025-10-03 17:30:00+00:00,7.2
True,True,True,True,True,True,[9.93000793],[40.20001221],[9.93000793],54.44000244140625,-9.742294311523438,AMD,2025-10-06 13:30:00+00:00,28.8
True,True,True,True,True,True,[16.19000244],[54.92878723],[16.19000244],60.69999694824219,-3.4822998046875,AMD,2025-10-06 17:30:00+00:00,14.4
True,True,True,True,True,True,[8.86999512],[45.],[8.86999512],53.37998962402344,-10.80230712890625,AMD,2025-10-07 13:30:00+00:00,14.4
True,True,True,True,True,True,[8.33999634],[30.03999329],[8.33999634],52.84999084472656,-11.332305908203125,AMD,2025-10-07 17:30:00+00:00,7.2
False,False,False,True,True,True,[-9.39459229],[8.395401],[-9.39459229],35.11540222167969,-29.06689453125,AMD,2025-10-08 13:30:00+00:00,14.4
False,False,False,True,True,True,[-15.56999207],[-5.82998657],[-15.56999207],28.94000244140625,-35.24229431152344,AMD,2025-10-08 17:30:00+00:00,14.4
False,False,False,True,True,True,[-10.47000122],[3.23999023],[-10.47000122],34.03999328613281,-30.142303466796875,AMD,2025-10-09 13:30:00+00:00,14.4
False,False,False,True,True,True,[-13.08000183],[0.62998962],[-13.08000183],31.42999267578125,-32.75230407714844,AMD,2025-10-09 17:30:00+00:00,7.2
False,False,False,True,True,True,[-0.33999634],[13.36999512],[-0.33999634],44.16999816894531,-20.012298583984375,AMD,2025-10-10 13:30:00+00:00,7.2
False,False,False,True,True,True,[5.22000122],[18.92999268],[5.22000122],49.72999572753906,-14.452301025390625,AMD,2025-10-10 17:30:00+00:00,7.2
False,False,False,True,True,True,[3.27999878],[21.02000427],[3.27999878],47.78999328613281,-16.392303466796875,AMD,2025-10-13 13:30:00+00:00,7.2
False,False,False,True,True,True,[3.41999817],[39.19000244],[3.41999817],47.92999267578125,-16.252304077148438,AMD,2025-10-13 17:30:00+00:00,7.2
False,False,False,True,True,True,[-4.74499512],[34.28410339],[-4.74499512],39.76499938964844,-24.41729736328125,AMD,2025-10-14 13:30:00+00:00,6.16
False,False,False,True,True,True,[1.80999756],[30.05999756],[1.80999756],46.31999206542969,-17.8623046875,AMD,2025-10-14 17:30:00+00:00,1.6
False,False,False,True,True,True,[-11.95999146],[16.20001221],[-11.95999146],32.55000305175781,-31.632293701171875,AMD,2025-10-15 13:30:00+00:00,5.88
False,False,False,True,True,True,[-18.77999878],[11.6499939],[-18.77999878],25.729995727539062,-38.452301025390625,AMD,2025-10-15 17:30:00+00:00,12.96
False,False,False,True,True,True,[-19.29499817],[7.63499451],[-19.29499817],25.214996337890625,-38.96730041503906,AMD,2025-10-16 13:30:00+00:00,14.4
False,False,False,True,True,True,[-14.74000549],[12.18998718],[-14.74000549],29.769989013671875,-34.41230773925781,AMD,2025-10-16 17:30:00+00:00,10.68
False,False,False,True,True,True,[-11.31159973],[15.61839294],[-11.31159973],33.198394775390625,-30.983901977539062,AMD,2025-10-17 13:30:00+00:00,1.14
False,False,False,True,True,True,[-13.31999207],[13.61000061],[-13.31999207],31.19000244140625,-32.99229431152344,AMD,2025-10-17 17:30:00+00:00,0.72
False,False,False,True,True,True,[-21.91609192],[-11.51609802],[-21.91609192],22.593902587890625,-41.58839416503906,AMD,2025-10-20 13:30:00+00:00,1.44
False,False,False,True,True,True,[-20.69999695],[-19.66999817],[-20.69999695],23.80999755859375,-40.37229919433594,AMD,2025-10-20 17:30:00+00:00,1.44
False,False,False,True,True,True,[-19.0249939],[-15.31500244],[-19.0249939],25.485000610351562,-38.697296142578125,AMD,2025-10-21 13:30:00+00:00,0.72
False,False,False,True,True,True,[-18.24000549],[-25.05000305],[-18.24000549],26.269989013671875,-37.91230773925781,AMD,2025-10-21 17:30:00+00:00,0.72
False,False,False,True,True,True,[-6.52000427],[-20.30000305],[-6.52000427],37.989990234375,-26.192306518554688,AMD,2025-10-22 13:30:00+00:00,0.72
False,False,False,True,True,True,[-10.41499329],[-28.72319031],[-10.41499329],34.095001220703125,-30.087295532226562,AMD,2025-10-22 17:30:00+00:00,0.72
False,False,False,True,True,True,[-13.28999329],[-29.36999512],[-13.28999329],31.220001220703125,-32.96229553222656,AMD,2025-10-23 13:30:00+00:00,0.72
False,False,False,True,True,True,[-15.17999268],[-31.25999451],[-15.17999268],29.330001831054688,-34.852294921875,AMD,2025-10-23 17:30:00+00:00,0.72
False,False,False,True,True,True,[-31.47000122],[-47.55000305],[-31.47000122],13.039993286132812,-51.142303466796875,AMD,2025-10-24 13:30:00+00:00,1.44
False,False,False,True,True,True,[-33.08999634],[-49.16999817],[-33.08999634],11.419998168945312,-52.762298583984375,AMD,2025-10-24 17:30:00+00:00,1.44
False,False,False,False,False,False,[-35.80499268],[-49.49499512],[-35.80499268],8.705001831054688,-55.477294921875,AMD,2025-10-27 13:30:00+00:00,8.18
False,False,False,False,False,False,[-39.93000793],[-46.3500061],[-39.93000793],4.579986572265625,-59.60231018066406,AMD,2025-10-27 17:30:00+00:00,14.4
False,False,False,False,False,False,[-41.44929504],[-47.16929626],[-41.44929504],3.060699462890625,-61.12159729003906,AMD,2025-10-28 13:30:00+00:00,14.4
False,False,False,False,False,False,[-38.13999939],[-43.86000061],[-38.13999939],6.3699951171875,-57.81230163574219,AMD,2025-10-28 17:30:00+00:00,14.4
False,False,False,False,False,False,[-40.62998962],[-46.34999084],[-40.62998962],3.8800048828125,-60.30229187011719,AMD,2025-10-29 13:30:00+00:00,14.4
False,False,False,False,False,False,[-44.50999451],[-47.57449341],[-44.50999451],-3.708892822265625,-64.18229675292969,AMD,2025-10-29 17:30:00+00:00,14.4
False,False,False,False,False,False,[-40.80110168],[-43.86560059],[-40.80110168],-0.971099853515625,-60.47340393066406,AMD,2025-10-30 13:30:00+00:00,5.62
False,False,False,False,False,False,[-35.06999207],[-38.13449097],[-35.06999207],4.760009765625,-54.74229431152344,AMD,2025-10-30 17:30:00+00:00,0.72
False,False,False,False,False,False,[-35.42869568],[-38.49319458],[-35.42869568],4.40130615234375,-55.10099792480469,AMD,2025-10-31 13:30:00+00:00,0.72
