"Symbol","Name","Quantity","Current price","Average Cost","Market Value","% Unrealized P/L","Total P/L","Unrealized P/L","Realized P/L","Today's P/L","% of Portfolio","Currency","Delta","Gamma (options only)","Vega (options only)","Theta (options only)","Rho (options only)","IV (options only)","Intrinsic Value (options only)","Extrinsic Value (options only)"
"LITE","Lumentum","2","149.460","131.02","298.92","+14.07%","+36.88","+36.88","0.00","0.00","2.43%","USD","2.00","--","--","--","--","--","--","--"
"VYM","Vanguard High Dividend Yield ETF","4.4017","139.550","137.946","614.26","+1.16%","+7.06","+7.06","0.00","0.00","5.00%","USD","4.4017","--","--","--","--","--","--","--"
"VOO","Vanguard S&P 500 ETF","3","594.960","585.157","1,784.88","+1.68%","+29.41","+29.41","0.00","0.00","14.53%","USD","3.00","--","--","--","--","--","--","--"
"GOOGL","Alphabet-A","2","235.000","226.35","470.00","+3.82%","+25.02","+17.30","+7.72","0.00","3.82%","USD","2.00","--","--","--","--","--","--","--"
"BND","Vanguard Total Bond Market ETF","2","74.270","73.36","148.54","+1.24%","+1.82","+1.82","0.00","0.00","1.21%","USD","2.00","--","--","--","--","--","--","--"
"AAPL250919C250000","AAPL 250919 250.00C","5","0.77","0.74","382.50","+3.38%","+12.50","+12.50","0.00","0.00","3.11%","USD","78.4095","12.6612","54.5112","-45.257","6.6165","0.2086","0.00","0.75"
"AAPL","Apple","1.901","239.690","219.377","455.65","+9.26%","+38.62","+38.62","0.00","0.00","3.71%","USD","1.901","--","--","--","--","--","--","--"
"AMZN251017C240000","AMZN 251017 240.00C","2","4.85","2.88","970.00","+68.40%","+394.00","+394.00","0.00","0.00","7.89%","USD","76.4456","4.011","59.4804","-19.6094","18.9147","0.2439","0.00","4.78"
"QQQ","Invesco QQQ Trust","2","576.060","562.345","1,152.12","+2.44%","+27.43","+27.43","0.00","0.00","9.38%","USD","2.00","--","--","--","--","--","--","--"
"VTI","Vanguard Total Stock Market ETF","6","319.550","313.75","1,917.30","+1.85%","+34.80","+34.80","0.00","0.00","15.60%","USD","6.00","--","--","--","--","--","--","--"
"SPY","SPDR S&P 500 ETF","3.4108","647.240","626.267","2,207.61","+3.35%","+247.01","+71.54","+175.48","0.00","17.97%","USD","3.4108","--","--","--","--","--","--","--"
"NVDA","NVIDIA","3.0435","167.020","171.011","508.33","-2.33%","-12.15","-12.15","0.00","0.00","4.14%","USD","3.0435","--","--","--","--","--","--","--"
"TSM","Taiwan Semiconductor","2","243.410","228.63","486.82","+6.46%","+29.56","+29.56","0.00","0.00","3.96%","USD","2.00","--","--","--","--","--","--","--"
"AVGO","Broadcom","1","334.890","291.56","334.89","+14.86%","+43.33","+43.33","0.00","0.00","2.73%","USD","1.00","--","--","--","--","--","--","--"
"TSLA250919C370000","TSLA 250919 370.00C","1","5.45","5.50","545.00","-0.91%","-5.00","-5.00","0.00","0.00","4.44%","USD","29.3371","1.1147","22.8875","-42.0796","3.503","0.4642","0.00","5.45"
